name,image,team,battingStyle,bowlingStyle,playingRole,description
Umesh Yadav,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316667.png",Gujarat Titans,Right hand Bat,Right arm Fast,Bowler,"Less than two seasons after fast bowler Umesh Yadav first played with a leather ball, he was bowling against the likes of Rahul Dravid and VVS Laxman in the Duleep Trophy. What makes his ascent even more remarkable is that he represents unglamorous Vidarbha in the Plate League of the Ranji Trophy. Yadav is the son of a coal-mine worker and was aiming to become a policeman. He only started considering a career in cricket as a 19-year-old, an age by which the best young Indian cricketers are in the running for a national cap. As a fast bowler, he has many skills: he regularly bowls at over 140kph, moves the ball both ways, and has a pretty effective bouncer. These qualities helped him take 20 wickets at 14.60 in four games for Vidarbha in his debut season in 2008-09. While he made waves in the domestic scene, Umesh really caught the eye during IPL 2010, where he impressed a much wider audience with his pace for Delhi Daredevils. He finally broke into the big league, when he was flown to the West Indies as a replacement for the injured Praveen Kumar during the World Twenty20 tournament in May 2010, and earned his first call-up to the India Test team for the tour of South Africa in November the same year. He made the Test playing XI for the first time against West Indies in Delhi in November 2011, and picked up nine wickets in his first two Tests, which in turn earned him a place for the Australia tour. On that tour, a disastrous one for India, Umesh was one of few positives for the side, outbowling his more experienced team-mates to finish with 14 wickets from four Tests and a strike rate of 50.50. More than his figures though, it was his speed and aggression that stood out. However, 2012 was an injury-prone year for him: he picked up a shin injury in Australia, before being ruled out one Test into the England series at the end of the year with back trouble. He returned to international cricket in June 2013 at the Champions Trophy in England, and a fast-bowler starved India would have heaved a collective sigh of relief to notice he had not lost his ability to bowl quick.After continuing in the ODI circuit, both home and abroad, Umesh was picked for the Australia Tests in 2014 and he followed that up by becoming one of India's frontline bowlers at the 2015 World Cup, finishing as the third-highest wicket-taker with 18 wickets at an average of 17.83.Siddarth Ravindran"
Mohit Sharma,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316700/316702.png",Gujarat Titans,Right hand Bat,Right arm Medium,Bowler,"Although Mohit Sharma burst onto the domestic scene during Haryana's best Ranji Trophy season in 2011-12, he made his own headlines a year later. In his debut season Mohit had played just three matches when Haryana made an impressive run to the semi-finals, but during the 2012-13 Ranji season he emerged as one of the best fast bowlers in the country, finishing as the fifth-highest wicket-taker. Despite that, not many had seen or known about the youngster from Faridabad, who had been on the fringes ever since he rose through age-group cricket camps organised by the Haryana Cricket Association. But during the 2013 IPL, Mohit's talent was unveiled as MS Dhoni picked him consistently in the Chennai Super Kings XI. Not only that, he also gave him the new ball and Mohit responded handsomely. Standing at about 5'11"", Mohit has a smooth delivery stride, and though he is still working on his final landing movements with experts like Andy Bichel, he can consistently bowl at about 135 kph. Accuracy is his strongest suit, as he bowls a tight line and length regardless of the batsmen, pitch or ground conditions. In the IPL, his ability to bowl consistently in the channel around off stump stood out more than anything else. That allowed him to be one of the best Powerplay bowlers in the tournament. His consistent performances have been rewarded with a maiden call-up to the Indian team for their tour of Zimbabwe in July 2013. The rise continued in that series as he turned in a Man-of-the-Match performance on ODI debut.Nagraj Gollapudi"
Kartik Tyagi,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/339100/339150.png",Gujarat Titans,Right hand Bat,Right arm Fast,Bowler,
Sandeep Warrier,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/359700/359763.png",Gujarat Titans,Right hand Bat,Right arm Medium,Bowler,
Liam Livingstone,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383100/383152.png",Punjab Kings,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,"Liam Livingstone broke into the spotlight when he made a T20I hundred off 42 balls against Pakistan in 2021 - the fastest century in the format by an England player. By then he had a reputation in English cricket as a batter equipped with plenty of raw power and the ability to dismantle good bowling attacks, a sharp outfielder, and a useful spinner who could turn the ball either way.Livingstone first attracted attention when he creamed 350 in 138 balls for club side Nantwich in 2015 - one of the largest individual scores in any officially sanctioned limited-overs game.  He won a trophy that season when Lancashire took the NatWest Blast title, though he himself didn't do much of note (and needed stitches after he was attacked in a bar earlier during in the competition). By the time he topped the run-scorers' table at the inaugural Hundred in 2021 with 348 runs from nine games, Livingstone was something of a seasoned T20 campaigner, with experience in the PSL, IPL, BBL, and South Africa's Mzansi Super League. He was also one of MI Cape Town's early signings in the SA20 two years on.Livingstone made the England side for the 2021 T20 World Cup as their designated finisher, though he only faced a handful of balls in the tournament. His star rose higher still when he sold for Rs 11.5 crore (about US$1.5 million) in the 2022 IPL auction, to Punjab Kings. He delivered for them that season, with 437 runs - remarkably, most of them scored from No. 4, at a stratospheric strike rate - though his run-making tapered off with fewer starting opportunities in the two seasons after.Coming back from injury for the T20 World Cup in 2022, he was at the non-striker's end when Ben Stokes hit the winning runs in the final, against Pakistan. The following year, Livingstone made an unbeaten 95 in a big win against New Zealand in an ODI in Southampton."
Vidwath Kaverappa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/381300/381371.png",Punjab Kings,Right hand Bat,Right arm Fast medium,Bowler,
Krishnappa Gowtham,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356850.1.png",Lucknow Super Giants,Right hand Bat,Right arm Offbreak,Bowling Allrounder,"An offspinning allrounder who was largely seen as a T20 specialist, K Gowtham changed his narrative in 2016 when he broke back into Karnataka's Ranji Trophy side and took 18 wickets in his first three matches. His consistency earned him a place with the India A team in 2017 and a gigantic pay-day in the 2018 IPL auction when he was bought by Rajasthan Royals for INR 6.2 crore (USD 968000 approx) Amid those highlights was a bit of controversy as well when he took leave from the Duleep Trophy in 2017, citing illness, and was found a few days a later playing in the Karnataka Premier League. The BCCI pulled him out of the squad to play New Zealand A for actions that were a ""gross insult to the system""."
Yash Thakur,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356700/356790.1.png",Lucknow Super Giants,Right hand Bat,Right arm Fast medium,Bowler,
Mayank Agarwal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322626.png",Sunrisers Hyderabad,Right hand Bat,Right arm Offbreak,Batter,"A prolific opening batsman since his Under-13 days with Bishop Cotton Boys' School, Bangalore, Mayank Agarwal modelled his style of batting on Virender Sehwag. Agarwal struck 432 runs at an average of 54 in five matches in the Under-19 Cooch Behar Trophy in 2008-09 and hit a match-winning 160 for India Under-19s, in a one-dayer against Australia Under-19s in Hobart in 2009.Agarwal was a bright spot in an otherwise disappointing Under-19 World Cup for India in 2010, top-scoring for his side in the tournament. Agarwal then graduated to the India A sides, but struggled for consistency.  Initially pigeonholed as a limited-overs specialist,  Agarwal made his Ranji Trophy debut for Karnataka in the 2013-14 season; he made his T20 debut in 2010-11 and List A debut in 2011-12. In the 2014-15 season, he was in the running to open for Karnataka in the Ranji Trophy, but was benched halfway through the season. According to Rahul Dravid, who worked with Agarwal in the India A side, it was a ""wake-up call"" for the opener. Agarwal lost weight in the off season, worked hard on his fitness, and scored his maiden first-class century the following season. He spent three seasons in the IPL with Royal Challengers Bangalore, from 2011 to 2013, scoring 492 runs in 35 matches, before moving to Delhi Daredevils in 2014. His stint with Daredevils was fairly muted in his first two seasons. ESPNcricinfo staff"
Marco Jansen,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/337100/337189.png",Sunrisers Hyderabad,Right hand Bat,Left arm Medium fast,Bowling Allrounder,"At 2.06 metres tall, Marco Jansen's height immediately marks him out as a fast bowler but he began his cricket career as a batter. Jansen's first coach was his father, Koos, who trained both him and his twin brother Duan in their home town of Potchefstroom. At the age of 17, the pair were picked to bowl to the touring Indian side in the nets and impressed the likes of Virat Kohli with his pace and accuracy. Jansen went on to tour India with South Africa's Under-19 side in 2019 and, that season, was the leading wicket-taker for North West in the three-day provincial competition. He travelled with South Africa's Test squad to Pakistan in early 2021 and was signed by Mumbai Indians for the IPL. Jansen made his Test debut against India in the Boxing Day Test in 2021, and became the first player born in the 2000s to be capped for the national side.Firdose Moonda"
Angkrish Raghuvanshi,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/345000/345093.png",Kolkata Knight Riders,Right hand Bat,Slow Left arm Orthodox,Top order Batter,"Angkrish Raghuvanshi, the tall, right-hand top-order batter, was India's highest run-getter at the 2022 Under-19 World Cup in the Caribbean, which India won. Raghuvanshi finished fourth on the overall scorers' list with 278 runs from six innings, though he recorded a two-ball duck against England in the final.Originally from Delhi, Raghuvanshi moved to Mumbai when just 11 and began training under Abhishek Nayar and Omkar Salvi. He ended up shifting to Mumbai permanently not long after. He made his List A and T20 debuts for Mumbai in the 2023-24 season and was bought for INR 20 lakh by Kolkata Knight Riders before IPL 2024. In his first batting innings of the tournament, against Delhi Capitals in Visakhapatnam, Raghuvanshi struck a quick fifty from No. 3."
Arshin Kulkarni,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/378100/378126.4.jpg",Lucknow Super Giants,Right hand Bat,Right arm Medium,Allrounder,
Ashton Turner,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321500/321560.png",Lucknow Super Giants,Right hand Bat,Right arm Offbreak,Middle order Batter,"A tall and powerful right-hander, Ashton Turner clears the rope with deft placement, is a brilliant runner between the wickets, and has made a habit of chasing unlikely totals as a middle-order specialist in the BBL. Turner made his first-class debut in elite company in 2013: he was in England playing club cricket and was called into Australia's XI in a tour match against Sussex. He enjoyed a breakout summer in 2016-17, which culminated in a call-up to Australia's T20I side to play against Sri Lanka in February 2017. Earlier in the season he had scored his maiden first-class century, against Tasmania, and followed that two matches later with another hundred against Queensland.Turner announced himself on the world stage when he made 84 not out from 43 balls in his second ODI to help Australia chase 359 in Mohali against India in 2019. But despite these heroics, he did not play a single game on the following five-match ODI tour of the UAE and missed selection for the 2019 World Cup squad. Significant right-shoulder issues restricted his throwing ability in the field and he didn't bowl much since 2017, though he initially developed as an offspinning allrounder in first-class cricket. Turner made over 350 runs at a strike rate of 154 in the 2021-22 BBL season, including 54 in the final, as Perth Scorchers clinched their fourth title."
Richard Gleeson,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/324200/324238.png",Chennai Super Kings,Right hand Bat,Right arm Fast medium,Bowler,"Richard Gleeson made his debut in international cricket at the age of 34 - and dismissed Rohit Sharma, Virat Kohli and Rishabh Pant within his first eight balls. It was the culmination of an extraordinary rise through the ranks: he was a late-bloomer, who made his first professional appearance aged 27 as a trialist at Northamptonshire, and had nearly quit the game altogether the previous winter due to injury.Gleeson proved himself an integral part of Northamptonshire's NatWest T20 Blast side in 2016. He missed Finals Day - their third in four years and one in which they emerged victorious - but he had done much to get them there, showing splendid economy levels, under six an over, with aggressive, full-length bowling and mastery of the yorker under pressure. It was all enough to win him a berth with Rangpur Riders in the 2016 Bangladesh Premier League.Northants' straitened financial circumstances meant that Gleeson, a former Minor Counties stalwart with Cumberland, played for them across all formats on a match-by-match basis in 2016, but he impressed enough to win a three-year contract at the end of the season. The following season, his coach David Ripley even called for England to give him a Twenty20 debut. The recommendation that went unheeded but in only a year he had made quite an impact.With that three-year contract complete, Northants' good work had invited interest from several higher-spending counties. Gleeson returned to Lancashire before the end of the 2018 season but the thought that he might help save them from relegation proved to be far-fetched. His parting gift to Northants was his best innings and match figures in first-class cricket - 6 for 79 and 9 for 95 respectively - against Kent at Canterbury. He then returned north to Old Trafford where he had once worked as a community coach and wondered if he would ever make the grade.His performances for Lancashire were enough to earn him further franchise opportunities, in the Abu Dhabi T10 and for Melbourne Renegades in the Big Bash, as well as call-ups to the England Lions squad for their tour to Australia in 2020 and to England's enlarged training squad later in the year. He suffered a stress fracture in his back on his return to county cricket, and a recurrence the following year which left him fighting for his future as a pro.In 2022, Lancashire signed him on a T20-only contract and he juggled training with teaching commitments at Myerscough College in Preston, where he worked part-time. But he started the Blast brilliantly, earning his England call-up, and was a travelling reverse as they won the T20 World Cup in Australia the following winter.ESPNcricinfo staff"
Kagiso Rabada,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320300/320376.png",Punjab Kings,Left hand Bat,Right arm Fast,Bowler,"Kagiso Rabada player profileA strapping, genuine quick who regularly bowls in the 140-150kph range, Kagiso Rabada is the most exciting talent to emerge from South Africa in the post No.1 Test ranking era. Before he had turned 21, Rabada had already established himself as a potential leader of the attack. Rabada thrust himself into the international spotlight at the 2014 Under-19 World Cup, where he took 6 for 25 against Australia in the semi-final. South Africa went on to win the title - their first - and Rabada finished as their highest wicket-taker.  Three months later, he was awarded a franchise contract with Lions and before the year was up, he had been included in the national ODI and Test squads. He made his T20I debut against Australia in Adelaide in November 2014.  In early 2015, Rabada showed his ability in the longer format. He claimed the South African record for the best bowling figures in a first-class match, 14 for 105, surpassing the haul taken by Dale Steyn seven seasons before. He finished the season as the third-highest wicket-taker in the Sunfoil Series. He was included in all three squads to tour Bangladesh in July-August 2015, and became only the second player to take a hat-trick on ODI debut, eventually finishing with the best figures by a first-timer: 6 for 16. Rabada also played in a home series against New Zealand and was then included on a tour to India. There, he led the ODI wicket-takers' list with Steyn after both claimed 10 wickets. Injuries to Morne Morkel, then Steyn and Vernon Philander, meant Rabada got a chance to play in three of the four Tests of that series. On inhospitable pitches, he worked hard, often without reward but displayed the stamina required of a Test bowler. Rabada has had more assistance from the surfaces at home, where he played against England in the absence of Steyn and Philander. In the final Test, with South Africa having already lost the series, Rabada became the youngest South African to take 10 wickets in a match when he finished with 13 for 144. His workload did not lessen as he played a further four ODIs and two T20Is against England, three T20Is against Australia, and also led the attack at the 2016 World T20 in India. After his performances, Rabada seemed primed for an IPL stint but chose to sign a county deal with Kent for a month instead.  Firdose MoondaKagiso Rabada IPL factfile- Rabada's rapid rise in international cricket earned him an IPL deal when he was just 21. He was bought for INR 5 crore by Delhi Capitals (then Daredevils) in 2017.- He played six games that year, returning as many wickets and missed the next season with injury.- Retained in 2019 for INR 4.2 crore, Rabada went on to bag 25 wickets in 12 games. The next year, he finished as the season's highest wicket-taker, taking 30 wickets as Capitals finished runners-up. - He was released ahead of the IPL 2022 mega auction and was then snapped up by Punjab Kings for INR 9.25 crore.- In his first season with Kings, he claimed 23 wickets even as the team failed to make the playoffs. He only played six matches in 2023 and was retained for IPL 2024."
Wriddhiman Saha,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323000/323033.png",Gujarat Titans,Right hand Bat,,Wicketkeeper Batter,"Wriddhiman Saha IPL factfile- Wriddhiman Saha is one of the few players to have played in every IPL season, from 2008 to 2024.- Saha, the former India wicketkeeper-batter, has played for five franchises - Kolkata Knight Riders (KKR), Chennai Super Kings (CSK), Punjab Kings (PBKS), Sunrisers Hyderabad (SRH) and Gujarat Titans (GT).- Saha was bought by KKR in the inaugural IPL auction and was with the team till 2010. He then went to CSK in 2011 and stayed there till 2013.- It was with Kings that Saha had his most successful time - in 57 matches for them, he scored 1115 runs at an average of 24.77.- Saha's most impressive performance with the bat was in the IPL 2014 final where he smashed an unbeaten 55-ball 115 for Punjab Kings against KKR, but it was not enough to take his team over the line in what remains their only appearance in an IPL final.- After being with Kings for four seasons, Saha moved to SRH before being snapped up for INR 1.9 crore at the IPL 2022 mega auction by GT. Saha's most successful IPL season so far has been with GT - 371 runs in 17 innings at 23.11 in 2023.- Saha has also effected more than 100 dismissals behind the wickets in his IPL career - 112 before the start of IPL 2024.Wriddhiman Saha player profileWriddhiman Saha was drafted into the Bengal Ranji side after regular wicketkeeper Deep Dasgupta signed up with the Indian Cricket League. He grabbed the chance with both hands, becoming the 15th Bengal player to score a hundred on Ranji debut. Though he managed only one more fifty in the remaining first-class games of the season, he was signed up by the Kolkata Knight Riders for the inaugural season of the Indian Premier League. He scored 318 runs in five games in the 2009-10 Ranji season and was picked in the squad for the first Test for the home series against South Africa. A last-minute injury to Rohit Sharma handed Saha an unexpected debut in Nagpur - as a batter.His second Test appearance - against Australia in Adelaide in January 2012 - was also somewhat accidental, a result of MS Dhoni's suspension due to India's slow over-rate. In between, Saha played two ODIs against New Zealand, but was mostly seen as India's reserve wicketkeeper on overseas tours.  Dhoni's retirement from Test cricket after the Boxing Day Test against Australia in Melbourne in 2014 opened the doors for Saha, who had long been an understudy, to firm up his position in the team.Cricinfo staff May 2014"
Vijay Shankar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322613.png",Gujarat Titans,Right hand Bat,Right arm Medium,Allrounder,"A middle-order batsman who can grind attacks and bowl medium-pace, Vijay Shankar established himself as one of the key members of a Tamil Nadu side undergoing transition in 2014-15. Particularly strong off the pads, and with a fondness for driving on the up, Shankar made scores of 111, 82, 91, 103 in the Ranji Trophy knockouts to finish with 577 runs at 57.70 that season, after returning from a groin injury.He was subsequently rewarded with an India A call up and made an unbeaten half-century on debut against an Australia A attack comprising Gurinder Sandhu, Andrew Fekete, Sean Abbott, and  Steve O'Keefe. Shankar also impressed against South Africa A and aimed to become a genuine allrounder, instead of a batsman who can bowl part-time.As a teenager Shankar had honed his skills on his terrace, which doubled up as a make-shift indoor net, with his father and brother Ajay, who played lower-division cricket in Tamil Nadu. Shankar bowled offspin until he was 20, but switched to medium-pace in a bid to break into a spin-heavy Tamil Nadu side.At 21, he was handed his first-class debut against Vidarbha in Nagpur, where he scored 63 not out and took two wickets. He had to play understudy to a settled middle order, before his breakthrough season in 2014-15. He had to play understudy at Chennai Super Kings in the IPL as well, getting just a solitary game over three seasons. He was then bought by Sunrisers Hyderabad in the 2016 IPL auction.Deivarayan Muthu"
Manav Suthar,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/286100/286141.1.jpg",Gujarat Titans,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,
Josh Little,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/367800/367860.png",Gujarat Titans,Right hand Bat,Left arm Fast medium,Bowler,"A bustling left-arm seamer from Dublin, Josh Little made an immediate impression on ODI debut against England in 2019 when he took 4 for 45 - including the wicket of Eoin Morgan with a sharp bouncer - to leave the world's No. 1-ranked side struggling in an ultimately successful run chase.Little had made his T20I debut two months short of his 17th birthday back in 2016, but found himself balancing academic commitments with cricket in the first two years of his career, limiting his availability. He began to feature more regularly from 2019 onwards, as one of a number of promising young Irish seamers coming through at the same time, and was awarded an emerging player contract that year.In 2020, he was key performer in Ireland's T20I victory against West Indies in the Caribbean, taking 3 for 29 while defending 208, and took five wickets in two ODIs against England later that year.ESPNcricinfo staff"
Vijaykumar Vyshak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/378000/378096.1.png",Royal Challengers Bengaluru,Right hand Bat,Right arm Medium,Bowler,
Manish Pandey,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323000/323052.png",Kolkata Knight Riders,Right hand Bat,Right arm Medium,Top order Batter,"Manish Pandey will always be remembered as the first Indian to score a century in the IPL. In one night, the 19-year-old went from being Karnataka's next big Ranji hope to entering the record books as he hit his way to the highest Twenty20 score by an Indian. That century also meant he would not have to carry out his intention of following his father into the army if he did not make it as a professional cricketer.But his barnstorming start did not immediately translate into an India call-up and Pandey continued to work his way up in the domestic circuit. His growth as an aggressive middle-order batsman and an athletic fielder coincided with Karnataka's rise as undisputed leaders of the domestic arena in a period that saw them complete the double treble. In July 2015, six years after that smash-mouth IPL hundred in Centurion, Pandey made his international debut in Harare.Pandey's breakout international innings, however, came six months later in Sydney. In January 2016, his unbeaten maiden ODI century helped India gun down Australia's 330 with two balls to spare and prevent a whitewash. While Pandey was not included in any of the T20 competitions India played in the lead-up to the World T20, he was brought in to replace an injured Yuvraj Singh in the semi-final against West Indies, where Pandey did not bat. 
ESPNcricinfo staff"
Gerald Coetzee,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/348500/348579.png",Mumbai Indians,Right hand Bat,Right arm Fast,Bowler,
Anmolpreet Singh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/358000/358038.png",Sunrisers Hyderabad,Right hand Bat,Right arm Offbreak,Batter,
Deepak Chahar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322700/322704.png",Chennai Super Kings,Right hand Bat,Right arm Medium,Bowler,"Deepak Chahar IPL factfile- Deepak Chahar made his IPL debut in 2016 for the now-defunct Rising Pune Super Giant(s), playing five games for them across two seasons. He was picked by Chennai Super Kings (CSK) ahead of IPL 2018 and has been with the franchise since then.- Before the start of IPL 2024, Chahar sat at No. 5 on CSK's list of all-time top wicket-takers, with 71 wickets in 68 games at a strike rate of 20.5.- IPL 2019 was Chahar's best season, when he picked 22 wickets in 17 matches finishing third on No. 3 on the Purple Cap list. - Chahar was the second-most expensive buy at the mega auction ahead of IPL 2022, with CSK buying him back for INR 14 crore. A back injury, however, ruled him out of the entire season.- Chahar has been a three-time IPL winner with CSK in 2018, 2021 and 2023.Deepak Chahar player profileDeepak Chahar is a classical swing bowler who added T20 smarts to his game to pick up 6 for 7 against Bangladesh in 2019, then the best bowling figures in T20Is. After making a sensational first-class cricket debut for Rajasthan in 2010-11, taking 8 for 10 in Hyderabad's 21 all out, Chahar struggled with injuries and fitness. He then rediscovered himself as a T20 bowler, blossoming under the captaincy of MS Dhoni in Chennai Super Kings' triumphant return to the IPL in 2018. He did even better next season, finishing third on the wickets table, with 22 at a strike rate of 17.5, including 3 for 26 in the final. Super Kings paid US$1.8 million to keep him at the 2022 auction. However, a back injury ruled him out of that season's IPL and from the T20 World Cup, for which he was in the reserves, later in the year.A bowler in the mould of Praveen Kumar and Bhuvneshwar Kumar, Chahar learned swing bowling at his father's coaching academy. Dhoni used him shrewdly with the new ball, often bowling him for three overs in the powerplay. Chahar also kept working on his other skills and turned himself into a capable bowler at the death, which was evident in that record-breaking spell against Bangladesh: four of his six wickets, including a hat-trick, came with a wet old ball in dewy conditions.Chahar is also a handy lower-order batter. In an ODI in Colombo in July 2021, he steered India's chase with an unbeaten 69 from No. 8."
Mustafizur Rahman,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319734.png",Chennai Super Kings,Left hand Bat,Left arm Fast medium,Bowler,"Mustafizur Rahman is a left-arm pace bowler who came to Dhaka to try out for a fast-bowling camp in 2012, after he had impressed in an Under-17 tournament in Satkhira, some 300km from Dhaka. He got admitted to the BCB's pace foundation and soon caught the coaches' attention to make the Bangladesh Under-19 side for the 2014 World Cup. He made his first-class debut for Khulna in the 2013-14 season and, after taking eight wickets in the U-19 World Cup in the UAE, he was surprisingly picked for Bangladesh A's tour of West Indies. Returning from that short trip, he was viewed as a better bowler and slowly picked up more variations. He initially lacked pace but built it up through the 2014-15 first-class season, when he took 26 wickets at an average of 19.08. This was when Mustafizur started to develop the left-armer's offcutter, which was delivered as a spinner does but with the added ability of making it carry to the wicketkeeper standing back. The story of Anamul Haque's dare that got him to bowl the delivery will go into Bangladeshi cricket folklore, as will the early support he received from Mashrafe Mortaza, who spotted him randomly in the Mirpur nets.Soon enough, the Bangladesh selectors picked Mustafizur for the one-off T20I against Pakistan and then, midway through 2015, for the ODI series against India when he became only the second bowler after Brian Vitori to take five-wicket hauls in his first two ODIs, paving the way for Bangladesh's first-ever ODI series win over India.He was excellent in bilateral series against South Africa - which included a Test debut - and Zimbabwe, while also doing well in his first BPL campaign. Mustafizur's first foray on to the world stage was through the IPL auction, when he was picked Sunrisers Hyderabad in early 2016, followed by confirmation of a contract with Sussex for English domestic limited-overs cricket. He ensured none of his new paymasters doubted their call as he emerged as one of the best bowlers in the World T20, signing off with a five-wicket haul against New Zealand, bamboozling them with his variation of cutters. Mohammad Isam"
Mohammad Nabi,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383215.png",Mumbai Indians,Right hand Bat,Right arm Offbreak,Allrounder,"Mohammad Nabi hails from a well-to-do family that moved to Peshawar in Pakistan, seeking a safe haven from the Soviet War in Afghanistan. An efficient allrounder - a strong middle-order batsman who can bowl flighted offspin - Nabi's rise, like Afghanistan's, has been staggering. He has been at the centre of the side since their time in the ICC's World Cricket League Division Five, from where Afghanistan began their rise to the international stage.Nabi took up cricket at the age of 10 while living in Peshawar. Honing his skills with endless sessions of tennis-ball cricket, he managed to begin training at Arshad Khan's academy in Peshawar and made his competitive debut against Rahim Yar Khan Cricket Association in Pakistan's erstwhile Cornelius Trophy in 2003, making 61 after having just met most of his team-mates. On a tour of India he caught Mike Gatting's eye with a century against a visiting MCC side. That brought him more valuable experience with MCC, for whom he made his first-class debut, and he went on to play a major role in Afghanistan's progress to the World Cup Qualifiers in South Africa in 2009. Nabi struck 58 against Scotland on one-day international debut and 102 in his first first-class game for Afghanistan, against a Zimbabwe XI.Nabi has remained the backbone of the side that qualified for the World Twenty20 in 2010, 2012 and 2014 and, recently, the 2015 World Cup. Nabi has had a couple of stints as Afghanistan's captain, taking over the role from Nawroz Mangal in March 2013 and leading the side to the 2015 World Cup. He has overseen rapid changes in Afghanistan's cricket but has remained calmer than most. Nabi has also played club and domestic cricket in England, Pakistan and Bangladesh, where he has enjoyed varying success but has gained in experience.Liam Brickhill"
Mayank Yadav,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/373900/373904.png",Lucknow Super Giants,Right hand Bat,Right arm Fast,Bowler,"An express bowler from Delhi, Mayank Yadav had played just two List A games when he was picked by Lucknow Super Giants (LSG) ahead of IPL 2022. He did not play a match in the first season and was ruled out of the next season with a torn hamstring.Once he got fit, he was fast-tracked into the North Zone side for the 50-over Deodhar Trophy where he knocked out Rahul Tripathi's middle stump with a rapid delivery.He made his IPL debut in 2024, against Punjab Kings in Lucknow, where he hurried the batters with his pace. He picked up 3 for 27 from his four overs and recorded a top speed of 155.8kph. Mayank went one better in his second IPL game against Royal Challengers Bengaluru (RCB) cranking up his speed to 156.7 kph, the fastest ball recorded in IPL 2024. He consistently breached the 150kph barrier finishing with 3 for 14 from his four overs. Mayank is the first player in the history of IPL to win two Player-of-the-Match awards in his first two matches."
